"CitySpire, New York",http://t3.gstatic.com/images?q=tbn:ANd9GcQW0zEse-Gw3eKN5QihgTlHIqOR9BMAwIhfZHChUKg5evFj45yG
"Williams Tower, Houston",http://t2.gstatic.com/images?q=tbn:ANd9GcTdjFUvzjebtVC3usLs8XZFgoF7wD68HDvkM0kTgbCLgwMSfEbL7da_xFq3
"311 South Wacker Drive, Chicago",http://t2.gstatic.com/images?q=tbn:ANd9GcS4L_Hr2p4Zfj7AqXqIu2u_95mCYy5mbQh7NFanPgNvpkLmpiHw
"Citicorp Center, New York",http://t1.gstatic.com/images?q=tbn:ANd9GcRR-ZZp6erWDmRX-R7_c1PlwAmmbvwJFChx91GRYSVZM_t25nQb
"American International Building (AIG), New York",http://t2.gstatic.com/images?q=tbn:ANd9GcRB9dhaGW9pYbAlPX-xxW-MP1X6C-RPfolWDD-X_v78e0CwA7-V
"NationsBank Center, Houston",http://t2.gstatic.com/images?q=tbn:ANd9GcRDy_Czab-dpvrq7M15eKhPzLhJytHH77snj-LBwDRlqQVWxqzC
"JP Morgan Chase Tower, Houston",http://t0.gstatic.com/images?q=tbn:ANd9GcTGyAAw8y3jNlb-L7iQQuwlS7esFNGsDVU05M7d9umihDAuYmhlzw
"Aon Center, Los Angeles",http://t1.gstatic.com/images?q=tbn:ANd9GcRB10xm0XS6RJMM1EDFaIqF_4zuiIxijhlaUxXTWf27msLQ0CzN
"Two Prudential Plaza, Chicago",http://t0.gstatic.com/images?q=tbn:ANd9GcSVR-nHVLxdOZHhKn0WGvYoINo9gkYotc4B5DQA0PHgp_j-oEAz
"One Chase Manhattan Plaza, New York",http://t2.gstatic.com/images?q=tbn:ANd9GcRglUJkTiWBzUjnqphbydgz_8g_-KhSFBEp-DEC3WrW3BWt_x9AXA
"Willis Tower (formerly Sears Tower), Chicago",http://t2.gstatic.com/images?q=tbn:ANd9GcTeJrGT5qhE9qKMg_DMj8g-AFkqb3FMXzMOAjOVKTwN6G0CXlmq
"Empire State Building, New York",http://t2.gstatic.com/images?q=tbn:ANd9GcRaG3kuVtIOzNANMO5YfOsSDm3xwSF9ANhwzBbsH5ozUYRKazEyIIDHNpzO
"Chrysler Building, New York",http://t0.gstatic.com/images?q=tbn:ANd9GcQfOQqWOqgIwi3UgqtHxmvNa15psRuhC66hX1wPc5vOlMdeAI2pvSUfj_MH
"Trump International Hotel and Tower, Chicago, USA",http://t3.gstatic.com/images?q=tbn:ANd9GcTsVmVJGlZ3rK6FNqiK3lJYdSga2BDz4Do3jr3b1iOnD2jgcmoZ
"Heritage Plaza, Houston",http://t2.gstatic.com/images?q=tbn:ANd9GcQahx20fRUx4aoLGKsNI2S13Wfi3Gbm7NVSVFIWQc4gRjx_YPKPGQ
"U.S. Bank Tower, Los Angeles",http://t3.gstatic.com/images?q=tbn:ANd9GcQY6rctyD1NKmnCfRIwOL6a7J2zbbo0KR4GmXKwwi-8NotfnMidM3gypDSH
"Devon Tower, Oklahoma City, Oklahoma, USA",http://t0.gstatic.com/images?q=tbn:ANd9GcQIHvqdCijs5H5WFHzHtXHJ0VuZt5KZYekunA37ALXzJt7e2wGY
"One Atlantic Center, Atlanta",http://t1.gstatic.com/images?q=tbn:ANd9GcRYBSRF0R0Cp0yAwmmOxLpMNeG35gGshys98tCq7LrtC7W_MiZTqg
"AT&T Corporate Center, Chicago",http://t2.gstatic.com/images?q=tbn:ANd9GcTxG5Q7CrgHoWVzHhZp42_U-v1PwAqopfOgoDuiLEsLS__GlBV5bA
"U.S. Steel Tower, Pittsburgh",http://t2.gstatic.com/images?q=tbn:ANd9GcSGTO6SjEPwkJMsJ-Q7Z-o-7ivfTTmID_KNusyV184w8gTvUt-QTA
"One Liberty Place, Philadelphia",http://t0.gstatic.com/images?q=tbn:ANd9GcR23l9zUCLTrfaqMmMClYQzq7n-Lb5vpf1kwXvm3O9Lxjj-zX5Rp90al4gk
"Bank of America Center, Seattle",http://t1.gstatic.com/images?q=tbn:ANd9GcTNq4JxtGxsFjOJwQu3FMKhW8UZnKhGJ8kakGPTfV86i-Jxbn8paA
"Aon Centre, Chicago",http://t0.gstatic.com/images?q=tbn:ANd9GcTvYi8KFQbfJw-YHWUAkVnM6QzNMXrt55lUoWAUv24lYmMs59t36g
"The Center, Hong Kong",http://t3.gstatic.com/images?q=tbn:ANd9GcTZyl37vpDq_cM9xlI60UksFe9tgja6ACVDGeOk2EJcMk_nu-dx
"One Ninety One Peachtree      Tower, Atlanta",http://t3.gstatic.com/images?q=tbn:ANd9GcSDbfgd8JhxVcz0INfQZAfedI_7gsZ9pa30BRBhc2N6XR2S7gwv
"John Hancock Center, Chicago",http://t3.gstatic.com/images?q=tbn:ANd9GcRa1k71rnnzbFAfQqEZrlGoPpcNd5qtSIhbm7Emw0A-VpcYJUC3NEWaadmL
"Wells Fargo Plaza,      Houston",http://t1.gstatic.com/images?q=tbn:ANd9GcQ9lWbLhlAqGPpoHmYFixV3r5Dq69-B11E-VO3iSy9Vib2FzOiC_lxYg1f2
"Bank of America, Atlanta",http://t3.gstatic.com/images?q=tbn:ANd9GcTd4Rd-AsFnNVU4cg8AMis3n3YlmK4aFqt_vUC_UjzTdoVZlAEmXA
